season,week,gameday,away_team,away_score,home_team,home_score,div_game,conf_game
2023,16,12/21/23,NO,,LA,,0,TRUE
2023,16,12/23/23,CIN,,PIT,,1,TRUE
2023,16,12/23/23,BUF,,LAC,,0,TRUE
2023,16,12/24/23,IND,,ATL,,0,FALSE
2023,16,12/24/23,GB,,CAR,,0,TRUE
2023,16,12/24/23,CLE,,HOU,,0,TRUE
2023,16,12/24/23,DET,,MIN,,1,TRUE
2023,16,12/24/23,WAS,,NYJ,,0,FALSE
2023,16,12/24/23,SEA,,TEN,,0,FALSE
2023,16,12/24/23,JAX,,TB,,0,FALSE
2023,16,12/24/23,ARI,,CHI,,0,TRUE
2023,16,12/24/23,DAL,,MIA,,0,FALSE
2023,16,12/24/23,NE,,DEN,,0,TRUE
2023,16,12/25/23,LV,,KC,,1,TRUE
2023,16,12/25/23,NYG,,PHI,,1,TRUE
2023,16,12/25/23,BAL,,SF,,0,FALSE
2023,17,12/28/23,NYJ,,CLE,,0,TRUE
2023,17,12/30/23,DET,,DAL,,0,TRUE
2023,17,12/31/23,MIA,,BAL,,0,TRUE
2023,17,12/31/23,NE,,BUF,,1,TRUE
2023,17,12/31/23,ATL,,CHI,,0,TRUE
2023,17,12/31/23,TEN,,HOU,,1,TRUE
2023,17,12/31/23,LV,,IND,,0,TRUE
2023,17,12/31/23,CAR,,JAX,,0,FALSE
2023,17,12/31/23,LA,,NYG,,0,TRUE
2023,17,12/31/23,ARI,,PHI,,0,TRUE
2023,17,12/31/23,NO,,TB,,1,TRUE
2023,17,12/31/23,SF,,WAS,,0,TRUE
2023,17,12/31/23,PIT,,SEA,,0,FALSE
2023,17,12/31/23,LAC,,DEN,,1,TRUE
2023,17,12/31/23,CIN,,KC,,0,TRUE
2023,17,12/31/23,GB,,MIN,,1,TRUE
2023,18,1/7/24,SEA,,ARI,,1,TRUE
2023,18,1/7/24,PIT,,BAL,,1,TRUE
2023,18,1/7/24,TB,,CAR,,1,TRUE
2023,18,1/7/24,CLE,,CIN,,1,TRUE
2023,18,1/7/24,MIN,,DET,,1,TRUE
2023,18,1/7/24,CHI,,GB,,1,TRUE
2023,18,1/7/24,HOU,,IND,,1,TRUE
2023,18,1/7/24,KC,,LAC,,1,TRUE
2023,18,1/7/24,DEN,,LV,,1,TRUE
2023,18,1/7/24,BUF,,MIA,,1,TRUE
2023,18,1/7/24,NYJ,,NE,,1,TRUE
2023,18,1/7/24,ATL,,NO,,1,TRUE
2023,18,1/7/24,PHI,,NYG,,1,TRUE
2023,18,1/7/24,LA,,SF,,1,TRUE
2023,18,1/7/24,JAX,,TEN,,1,TRUE
2023,18,1/7/24,DAL,,WAS,,1,TRUE
